AttractionId,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress
77,99,14,Tel Aviv Waterfall,"241 Main Road, Tel Aviv"
78,130,5,Rio de Janeiro Wildlife Reserve,"150 Main Road, Rio de Janeiro"
79,55,14,Marrakesh Falls,"261 Main Road, Marrakesh"
80,35,15,Bandung Opera House,"182 Main Road, Bandung"
81,104,8,Oslo Caves,"95 Main Road, Oslo"
82,100,15,London Performing Arts Centre,"326 Main Road, London"
83,30,15,Dakar Performing Arts Centre,"27 Main Road, Dakar"
84,91,8,Paris Cavern,"59 Main Road, Paris"
85,31,3,Mumbai Museum,"124 Main Road, Mumbai"
86,37,14,Stockholm Waterfall,"368 Main Road, Stockholm"
87,32,9,Santo Domingo Hot Springs,"114 Main Road, Santo Domingo"
88,45,9,Los Angeles Thermal Spa,"47 Main Road, Los Angeles"
89,74,9,Seoul Wellness Retreat,"23 Main Road, Seoul"
90,102,3,Nairobi Historical Museum,"22 Main Road, Nairobi"
91,118,7,Mumbai Crater,"272 Main Road, Mumbai"
92,12,13,Tel Aviv Street Market,"127 Main Road, Tel Aviv"
93,40,15,Tunis Performing Arts Centre,"350 Main Road, Tunis"
94,58,12,Bucharest Quarter,"18 Main Road, Bucharest"
95,101,8,Barcelona Grotto,"95 Main Road, Barcelona"
96,109,4,Buenos Aires Mosque,"228 Main Road, Buenos Aires"
97,3,15,Surabaya Opera House,"20 Main Road, Surabaya"
98,32,1,Santo Domingo Shore,"209 Main Road, Santo Domingo"
99,53,14,Munich Falls,"333 Main Road, Munich"
100,10,2,Shanghai Ancient City,"370 Main Road, Shanghai"
101,51,11,Warsaw Bridge,"337 Main Road, Warsaw"
102,26,13,Osaka Night Market,"391 Main Road, Osaka"
103,56,5,Dhaka Nature Park,"312 Main Road, Dhaka"
104,112,10,Chicago Reserve,"311 Main Road, Chicago"
105,78,12,Budapest District,"214 Main Road, Budapest"
106,20,5,Istanbul Sanctuary,"343 Main Road, Istanbul"
107,29,13,Port Moresby Street Market,"154 Main Road, Port Moresby"
108,95,11,Dubai Tower,"107 Main Road, Dubai"
109,106,1,Lagos Bay,"191 Main Road, Lagos"
110,16,3,Panama City Heritage Centre,"93 Main Road, Panama City"
111,117,6,Dakar Aqua Park,"147 Main Road, Dakar"
112,49,12,Kathmandu Quarter,"152 Main Road, Kathmandu"
113,35,3,Bandung Museum,"119 Main Road, Bandung"
114,71,12,Delhi District,"366 Main Road, Delhi"
115,125,13,Melbourne Street Market,"132 Main Road, Melbourne"
116,115,7,Riyadh Mount,"339 Main Road, Riyadh"
117,2,8,Lyon Caves,"321 Main Road, Lyon"
118,15,9,Nairobi Wellness Retreat,"253 Main Road, Nairobi"
119,89,2,Lyon Temple Ruins,"294 Main Road, Lyon"
120,30,1,Dakar Cove,"278 Main Road, Dakar"
121,16,8,Panama City Grotto,"53 Main Road, Panama City"
122,132,15,Los Angeles Ballet Theatre,"38 Main Road, Los Angeles"
123,105,10,Jakarta Reserve,"34 Main Road, Jakarta"
124,99,8,Tel Aviv Grotto,"55 Main Road, Tel Aviv"
125,94,15,Athens Opera House,"320 Main Road, Athens"
126,37,7,Stockholm Crater,"313 Main Road, Stockholm"
127,50,15,Guatemala City Performing Arts Centre,"378 Main Road, Guatemala City"
128,21,2,Havana Archaeological Park,"236 Main Road, Havana"
129,25,1,Chicago Cove,"246 Main Road, Chicago"
130,12,3,Tel Aviv Museum,"226 Main Road, Tel Aviv"
131,24,1,Phuket Bay,"186 Main Road, Phuket"
132,98,11,Lisbon Landmark,"305 Main Road, Lisbon"
133,70,14,Suva Cascades,"197 Main Road, Suva"
134,9,4,Brussels Temple,"372 Main Road, Brussels"
135,117,13,Dakar Street Market,"47 Main Road, Dakar"
136,5,11,Sydney Monument,"263 Main Road, Sydney"
137,53,11,Munich Bridge,"309 Main Road, Munich"
138,43,4,Rio de Janeiro Mosque,"134 Main Road, Rio de Janeiro"
139,115,12,Riyadh District,"305 Main Road, Riyadh"
140,90,10,Surabaya Conservation Area,"146 Main Road, Surabaya"
141,98,8,Lisbon Caves,"63 Main Road, Lisbon"
142,74,15,Seoul Opera House,"374 Main Road, Seoul"
143,130,9,Rio de Janeiro Wellness Retreat,"153 Main Road, Rio de Janeiro"
144,91,2,Paris Temple Ruins,"221 Main Road, Paris"
145,31,15,Mumbai Ballet Theatre,"312 Main Road, Mumbai"
146,46,10,Taipei National Park,"151 Main Road, Taipei"
147,44,10,Amsterdam National Park,"287 Main Road, Amsterdam"
148,118,13,Mumbai Bazaar,"48 Main Road, Mumbai"
149,61,5,Kampala Sanctuary,"255 Main Road, Kampala"
150,45,2,Los Angeles Ancient City,"235 Main Road, Los Angeles"
151,95,1,Dubai Cove,"5 Main Road, Dubai"
152,62,2,Kuala Lumpur Archaeological Park,"330 Main Road, Kuala Lumpur"
153,46,7,Taipei Mount,"183 Main Road, Taipei"
154,28,5,Riyadh Wildlife Reserve,"121 Main Road, Riyadh"
155,115,8,Riyadh Grotto,"312 Main Road, Riyadh"
156,17,9,Oslo Thermal Spa,"398 Main Road, Oslo"
157,26,1,Osaka Cove,"114 Main Road, Osaka"
158,113,12,Osaka Old Town,"43 Main Road, Osaka"
159,87,10,Hanoi National Park,"266 Main Road, Hanoi"
160,129,3,Cape Town Heritage Centre,"37 Main Road, Cape Town"
161,55,11,Marrakesh Bridge,"12 Main Road, Marrakesh"
162,87,4,Hanoi Cathedral,"58 Main Road, Hanoi"
163,1,13,Dar es Salaam Street Market,"80 Main Road, Dar es Salaam"
164,20,1,Istanbul Bay,"262 Main Road, Istanbul"
165,127,14,Tunis Falls,"3 Main Road, Tunis"
166,35,3,Bandung Historical Museum,"242 Main Road, Bandung"
167,93,15,Penang Performing Arts Centre,"96 Main Road, Penang"
168,121,5,Toronto Wildlife Reserve,"23 Main Road, Toronto"
169,51,11,Warsaw Bridge,"371 Main Road, Warsaw"
170,30,2,Dakar Archaeological Park,"279 Main Road, Dakar"
171,112,13,Chicago Bazaar,"17 Main Road, Chicago"
172,14,7,Barcelona Volcano,"50 Main Road, Barcelona"
173,100,11,London Landmark,"298 Main Road, London"
174,14,9,Barcelona Hot Springs,"340 Main Road, Barcelona"
175,5,7,Sydney Mount,"294 Main Road, Sydney"
176,49,1,Kathmandu Beach,"109 Main Road, Kathmandu"
177,110,2,Lahore Ancient City,"392 Main Road, Lahore"
178,85,12,Santiago Quarter,"22 Main Road, Santiago"
179,90,2,Surabaya Temple Ruins,"17 Main Road, Surabaya"
180,4,4,Paris Cathedral,"284 Main Road, Paris"
181,21,7,Havana Crater,"37 Main Road, Havana"
182,77,12,Lima Quarter,"392 Main Road, Lima"
183,56,9,Dhaka Thermal Spa,"313 Main Road, Dhaka"
184,37,4,Stockholm Shrine,"229 Main Road, Stockholm"
185,55,7,Marrakesh Volcano,"378 Main Road, Marrakesh"
186,102,9,Nairobi Thermal Spa,"231 Main Road, Nairobi"
187,73,9,Manchester Hot Springs,"260 Main Road, Manchester"
188,86,7,Windhoek Volcano,"60 Main Road, Windhoek"
189,116,7,Port Moresby Mount,"162 Main Road, Port Moresby"
190,24,14,Phuket Falls,"48 Main Road, Phuket"
191,78,15,Budapest Performing Arts Centre,"111 Main Road, Budapest"
192,112,2,Chicago Ancient City,"171 Main Road, Chicago"
193,109,12,Buenos Aires Quarter,"254 Main Road, Buenos Aires"
194,20,15,Istanbul Opera House,"164 Main Road, Istanbul"
195,121,13,Toronto Street Market,"235 Main Road, Toronto"
196,55,10,Marrakesh Conservation Area,"15 Main Road, Marrakesh"
197,119,5,Santo Domingo Nature Park,"190 Main Road, Santo Domingo"
198,80,3,Vancouver Museum,"229 Main Road, Vancouver"
199,114,6,Cairo Aqua Park,"281 Main Road, Cairo"
200,64,9,Berlin Thermal Spa,"261 Main Road, Berlin"
201,43,10,Rio de Janeiro National Park,"315 Main Road, Rio de Janeiro"
202,2,6,Lyon Water Park,"173 Main Road, Lyon"
203,51,8,Warsaw Cavern,"144 Main Road, Warsaw"
204,47,15,Auckland Performing Arts Centre,"294 Main Road, Auckland"
205,54,9,Sao Paulo Hot Springs,"368 Main Road, Sao Paulo"
206,114,13,Cairo Street Market,"208 Main Road, Cairo"
207,2,5,Lyon Wildlife Reserve,"126 Main Road, Lyon"
208,24,8,Phuket Cavern,"198 Main Road, Phuket"
209,133,1,Taipei Beach,"29 Main Road, Taipei"
210,65,14,Kingston Waterfall,"23 Main Road, Kingston"
211,133,2,Taipei Ancient City,"134 Main Road, Taipei"
212,87,8,Hanoi Grotto,"126 Main Road, Hanoi"
213,28,1,Riyadh Shore,"6 Main Road, Riyadh"
214,72,7,Accra Mount,"342 Main Road, Accra"
215,70,7,Suva Mount,"62 Main Road, Suva"
216,68,4,New York Mosque,"48 Main Road, New York"
217,106,8,Lagos Cavern,"383 Main Road, Lagos"
218,69,2,Bangkok Ancient City,"309 Main Road, Bangkok"
219,51,7,Warsaw Mount,"275 Main Road, Warsaw"
220,103,3,Panama City Historical Museum,"155 Main Road, Panama City"
221,43,14,Rio de Janeiro Cascades,"5 Main Road, Rio de Janeiro"
222,101,11,Barcelona Bridge,"210 Main Road, Barcelona"
223,19,8,Lagos Grotto,"67 Main Road, Lagos"
224,8,7,Dubai Mount,"395 Main Road, Dubai"
225,9,15,Brussels Opera House,"335 Main Road, Brussels"
226,107,13,Istanbul Bazaar,"57 Main Road, Istanbul"
227,31,8,Mumbai Grotto,"157 Main Road, Mumbai"
228,58,5,Bucharest Sanctuary,"302 Main Road, Bucharest"
229,123,1,Gaborone Bay,"188 Main Road, Gaborone"
230,40,14,Tunis Falls,"73 Main Road, Tunis"
231,98,4,Lisbon Shrine,"18 Main Road, Lisbon"
232,53,10,Munich National Park,"117 Main Road, Munich"
233,51,3,Warsaw Historical Museum,"234 Main Road, Warsaw"
234,4,11,Paris Tower,"34 Main Road, Paris"
235,22,5,Buenos Aires Sanctuary,"337 Main Road, Buenos Aires"
236,41,13,Tokyo Bazaar,"260 Main Road, Tokyo"
237,103,7,Panama City Mount,"305 Main Road, Panama City"
238,28,10,Riyadh Conservation Area,"147 Main Road, Riyadh"
239,86,12,Windhoek District,"136 Main Road, Windhoek"
240,27,14,Cairo Falls,"193 Main Road, Cairo"
241,7,8,Athens Grotto,"340 Main Road, Athens"
242,107,6,Istanbul Aqua Park,"363 Main Road, Istanbul"
243,88,5,Dar es Salaam Wildlife Reserve,"340 Main Road, Dar es Salaam"
244,119,6,Santo Domingo Aqua Park,"200 Main Road, Santo Domingo"
245,41,13,Tokyo Bazaar,"42 Main Road, Tokyo"
246,66,1,Johannesburg Shore,"367 Main Road, Johannesburg"
247,96,10,Brussels Reserve,"71 Main Road, Brussels"
248,77,1,Lima Bay,"77 Main Road, Lima"
249,65,4,Kingston Mosque,"371 Main Road, Kingston"
250,94,11,Athens Monument,"123 Main Road, Athens"
251,51,3,Warsaw Heritage Centre,"3 Main Road, Warsaw"
252,110,7,Lahore Volcano,"281 Main Road, Lahore"
253,128,8,Tokyo Grotto,"392 Main Road, Tokyo"
254,122,13,Bandung Street Market,"191 Main Road, Bandung"
255,86,15,Windhoek Ballet Theatre,"361 Main Road, Windhoek"
256,126,8,Addis Ababa Caves,"385 Main Road, Addis Ababa"
257,76,10,Milan Reserve,"346 Main Road, Milan"
258,71,2,Delhi Ancient City,"293 Main Road, Delhi"
259,98,13,Lisbon Bazaar,"221 Main Road, Lisbon"
260,40,15,Tunis Ballet Theatre,"387 Main Road, Tunis"
261,127,2,Tunis Temple Ruins,"116 Main Road, Tunis"
262,4,13,Paris Street Market,"300 Main Road, Paris"
263,60,10,Wellington National Park,"50 Main Road, Wellington"
264,33,5,Singapore Nature Park,"311 Main Road, Singapore"
265,33,15,Singapore Performing Arts Centre,"394 Main Road, Singapore"
266,99,13,Tel Aviv Night Market,"391 Main Road, Tel Aviv"
267,2,4,Lyon Temple,"317 Main Road, Lyon"
268,38,10,Melbourne National Park,"222 Main Road, Melbourne"
269,96,9,Brussels Hot Springs,"369 Main Road, Brussels"
270,74,7,Seoul Volcano,"15 Main Road, Seoul"
271,90,1,Surabaya Shore,"20 Main Road, Surabaya"
272,1,6,Dar es Salaam Splash World,"270 Main Road, Dar es Salaam"
273,104,12,Oslo Quarter,"309 Main Road, Oslo"
274,11,1,Lisbon Cove,"296 Main Road, Lisbon"
275,102,6,Nairobi Aqua Park,"20 Main Road, Nairobi"
276,122,14,Bandung Falls,"249 Main Road, Bandung"
277,45,4,Los Angeles Cathedral,"2 Main Road, Los Angeles"
278,37,15,Stockholm Opera House,"271 Main Road, Stockholm"
279,15,8,Nairobi Grotto,"161 Main Road, Nairobi"
280,91,11,Paris Landmark,"268 Main Road, Paris"
281,95,4,Dubai Cathedral,"341 Main Road, Dubai"
282,2,8,Lyon Grotto,"341 Main Road, Lyon"
283,78,14,Budapest Waterfall,"236 Main Road, Budapest"
284,41,7,Tokyo Volcano,"110 Main Road, Tokyo"
285,107,9,Istanbul Wellness Retreat,"75 Main Road, Istanbul"
286,33,11,Singapore Landmark,"137 Main Road, Singapore"
287,44,7,Amsterdam Crater,"323 Main Road, Amsterdam"
288,24,9,Phuket Thermal Spa,"119 Main Road, Phuket"
289,104,12,Oslo Quarter,"55 Main Road, Oslo"
290,105,2,Jakarta Temple Ruins,"399 Main Road, Jakarta"
291,17,13,Oslo Street Market,"238 Main Road, Oslo"
292,77,1,Lima Bay,"366 Main Road, Lima"
293,34,4,Toronto Cathedral,"54 Main Road, Toronto"
294,95,2,Dubai Temple Ruins,"27 Main Road, Dubai"
295,68,6,New York Aqua Park,"8 Main Road, New York"
296,88,5,Dar es Salaam Sanctuary,"254 Main Road, Dar es Salaam"
297,45,14,Los Angeles Cascades,"168 Main Road, Los Angeles"
298,128,14,Tokyo Waterfall,"301 Main Road, Tokyo"
299,18,8,Jakarta Grotto,"114 Main Road, Jakarta"
300,99,6,Tel Aviv Aqua Park,"94 Main Road, Tel Aviv"
301,6,9,Penang Wellness Retreat,"363 Main Road, Penang"
302,9,5,Brussels Sanctuary,"297 Main Road, Brussels"
303,18,4,Jakarta Mosque,"261 Main Road, Jakarta"
304,28,1,Riyadh Shore,"97 Main Road, Riyadh"
305,129,5,Cape Town Wildlife Reserve,"63 Main Road, Cape Town"
306,105,6,Jakarta Water Park,"114 Main Road, Jakarta"
307,87,1,Hanoi Bay,"316 Main Road, Hanoi"
308,99,9,Tel Aviv Thermal Spa,"175 Main Road, Tel Aviv"
309,97,13,Shanghai Street Market,"397 Main Road, Shanghai"
310,81,9,Colombo Hot Springs,"326 Main Road, Colombo"
311,51,11,Warsaw Monument,"315 Main Road, Warsaw"
312,33,8,Singapore Caves,"225 Main Road, Singapore"
313,2,5,Lyon Nature Park,"261 Main Road, Lyon"
314,52,5,Manila Sanctuary,"205 Main Road, Manila"
315,74,15,Seoul Opera House,"15 Main Road, Seoul"
316,54,15,Sao Paulo Performing Arts Centre,"42 Main Road, Sao Paulo"
317,106,5,Lagos Wildlife Reserve,"99 Main Road, Lagos"
318,88,9,Dar es Salaam Wellness Retreat,"182 Main Road, Dar es Salaam"
319,29,4,Port Moresby Shrine,"125 Main Road, Port Moresby"
320,9,1,Brussels Shore,"45 Main Road, Brussels"
321,50,10,Guatemala City Conservation Area,"25 Main Road, Guatemala City"
322,18,14,Jakarta Cascades,"83 Main Road, Jakarta"
323,36,15,Gaborone Ballet Theatre,"158 Main Road, Gaborone"
324,82,4,Chennai Temple,"1 Main Road, Chennai"
325,68,5,New York Nature Park,"345 Main Road, New York"
326,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa"
327,84,5,Madrid Wildlife Reserve,"133 Main Road, Madrid"
328,9,7,Brussels Crater,"312 Main Road, Brussels"
329,81,8,Colombo Cavern,"104 Main Road, Colombo"
330,62,4,Kuala Lumpur Mosque,"97 Main Road, Kuala Lumpur"
331,77,14,Lima Waterfall,"273 Main Road, Lima"
332,106,6,Lagos Splash World,"132 Main Road, Lagos"
333,64,4,Berlin Cathedral,"20 Main Road, Berlin"
334,8,8,Dubai Grotto,"284 Main Road, Dubai"
335,104,3,Oslo Heritage Centre,"19 Main Road, Oslo"
336,51,5,Warsaw Wildlife Reserve,"367 Main Road, Warsaw"
337,36,2,Gaborone Archaeological Park,"76 Main Road, Gaborone"
338,93,13,Penang Night Market,"45 Main Road, Penang"
339,9,11,Brussels Monument,"97 Main Road, Brussels"
340,119,2,Santo Domingo Temple Ruins,"236 Main Road, Santo Domingo"
341,32,11,Santo Domingo Monument,"2 Main Road, Santo Domingo"
342,18,5,Jakarta Nature Park,"248 Main Road, Jakarta"
343,119,7,Santo Domingo Mount,"309 Main Road, Santo Domingo"
344,61,15,Kampala Opera House,"102 Main Road, Kampala"
345,5,4,Sydney Mosque,"182 Main Road, Sydney"
346,106,15,Lagos Performing Arts Centre,"393 Main Road, Lagos"
347,83,2,Bogota Archaeological Park,"325 Main Road, Bogota"
348,129,3,Cape Town Heritage Centre,"319 Main Road, Cape Town"
349,110,2,Lahore Temple Ruins,"87 Main Road, Lahore"
350,71,8,Delhi Cavern,"127 Main Road, Delhi"
