TransactionId,UserId,VisitYear,VisitMonth,VisitMode,AttractionId,Rating,ContinentId,RegionId,CountryId,UserCityId,CityName,CityCountryId,Continent,Region,Country,AttractionCityId,AttractionTypeId,Attraction,AttractionAddress,AttractionType,AttractionCity,Season,MonthsSinceFirstVisit
22,1155,2024,9,Couples,38,5,3,10,39,76,Milan,39,North America,Central America,Costa Rica,113,7,Osaka Mount,"127 Main Road, Osaka",Volcanos,Osaka,Autumn,57
23,724,2023,4,Business,265,5,5,13,53,101,Barcelona,53,Africa,East Africa,Ethiopia,33,15,Singapore Performing Arts Centre,"394 Main Road, Singapore",Ballets,Singapore,Spring,40
24,2220,2023,11,Solo,88,4,6,18,65,131,Amsterdam,65,Oceania,Melanesia,Fiji,45,9,Los Angeles Thermal Spa,"47 Main Road, Los Angeles",Spas,Los Angeles,Autumn,47
25,2858,2024,3,Family,215,4,3,10,40,78,Budapest,40,North America,Central America,Panama,70,7,Suva Mount,"62 Main Road, Suva",Volcanos,Suva,Spring,51
26,1060,2023,5,Family,292,4,3,10,41,82,Chennai,41,North America,Central America,Guatemala,77,1,Lima Bay,"366 Main Road, Lima",Beaches,Lima,Spring,41
27,448,2024,7,Couples,4,5,5,14,55,108,Havana,55,Africa,West Africa,Ghana,7,6,Athens Aqua Park,"363 Main Road, Athens",Water Parks,Athens,Summer,55
28,355,2020,8,Couples,240,4,2,8,35,69,Bangkok,35,Europe,Eastern Europe,Romania,27,14,Cairo Falls,"193 Main Road, Cairo",Waterfalls,Cairo,Summer,8
29,23,2022,7,Couples,250,5,4,12,45,89,Lyon,45,South America,South America,Brazil,94,11,Athens Monument,"123 Main Road, Athens",Points Of Interest & Landmarks,Athens,Summer,31
30,2215,2020,2,Couples,195,5,5,15,59,116,Port Moresby,59,Africa,Southern Africa,Namibia,121,13,Toronto Street Market,"235 Main Road, Toronto",Flea & Street Markets,Toronto,Winter,2
31,2941,2020,4,Family,52,4,4,12,46,91,Paris,46,South America,South America,Argentina,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Spring,4
32,2980,2024,11,Couples,265,4,2,8,35,68,New York,35,Europe,Eastern Europe,Romania,33,15,Singapore Performing Arts Centre,"394 Main Road, Singapore",Ballets,Singapore,Autumn,59
33,2332,2021,11,Family,326,5,4,12,46,93,Penang,46,South America,South America,Argentina,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Autumn,23
34,544,2023,8,Family,107,4,1,1,5,12,Tel Aviv,5,Asia,South East Asia,Vietnam,29,13,Port Moresby Street Market,"154 Main Road, Port Moresby",Flea & Street Markets,Port Moresby,Summer,44
35,2932,2024,6,Couples,104,3,5,13,51,99,Tel Aviv,51,Africa,East Africa,Tanzania,112,10,Chicago Reserve,"311 Main Road, Chicago",National Parks,Chicago,Summer,54
36,927,2022,6,Family,230,5,5,15,57,112,Chicago,57,Africa,Southern Africa,South Africa,40,14,Tunis Falls,"73 Main Road, Tunis",Waterfalls,Tunis,Summer,30
37,953,2024,1,Friends,326,5,1,1,4,9,Brussels,4,Asia,South East Asia,Thailand,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Winter,49
38,2026,2023,7,Family,326,5,2,8,35,69,Bangkok,35,Europe,Eastern Europe,Romania,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Summer,43
39,172,2021,2,Family,69,5,4,12,49,96,Brussels,49,South America,South America,Colombia,132,13,Los Angeles Street Market,"56 Main Road, Los Angeles",Flea & Street Markets,Los Angeles,Winter,14
40,2458,2024,6,Couples,202,5,1,3,15,32,Santo Domingo,15,Asia,East Asia,Taiwan,2,6,Lyon Water Park,"173 Main Road, Lyon",Water Parks,Lyon,Summer,54
41,2994,2023,5,Family,116,3,1,2,11,23,Lahore,11,Asia,South Asia,Pakistan,115,7,Riyadh Mount,"339 Main Road, Riyadh",Volcanos,Riyadh,Spring,41
42,2304,2024,9,Friends,25,5,3,11,43,86,Windhoek,43,North America,Caribbean,Cuba,62,11,Kuala Lumpur Monument,"375 Main Road, Kuala Lumpur",Points Of Interest & Landmarks,Kuala Lumpur,Autumn,57
43,2324,2022,1,Couples,2,4,3,11,44,87,Hanoi,44,North America,Caribbean,Dominican Republic,129,11,Cape Town Landmark,"145 Main Road, Cape Town",Points Of Interest & Landmarks,Cape Town,Winter,25
45,221,2021,12,Family,101,4,2,6,26,51,Warsaw,26,Europe,Southern Europe,Greece,51,11,Warsaw Bridge,"337 Main Road, Warsaw",Points Of Interest & Landmarks,Warsaw,Winter,24
46,2360,2024,3,Solo,241,5,1,4,17,35,Bandung,17,Asia,Western Asia,Saudi Arabia,7,8,Athens Grotto,"340 Main Road, Athens",Caverns & Caves,Athens,Spring,51
47,1752,2021,4,Friends,293,5,4,12,48,95,Dubai,48,South America,South America,Chile,34,4,Toronto Cathedral,"54 Main Road, Toronto",Religious Sites,Toronto,Spring,16
48,2732,2022,5,Couples,318,5,1,3,14,28,Riyadh,14,Asia,East Asia,South Korea,88,9,Dar es Salaam Wellness Retreat,"182 Main Road, Dar es Salaam",Spas,Dar Es Salaam,Spring,29
49,383,2023,12,Family,246,5,5,15,58,115,Riyadh,58,Africa,Southern Africa,Botswana,66,1,Johannesburg Shore,"367 Main Road, Johannesburg",Beaches,Johannesburg,Winter,48
50,877,2020,5,Couples,50,4,2,7,31,62,Kuala Lumpur,31,Europe,Northern Europe,Denmark,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Spring,5
51,994,2023,3,Business,223,5,1,3,14,29,Port Moresby,14,Asia,East Asia,South Korea,19,8,Lagos Grotto,"67 Main Road, Lagos",Caverns & Caves,Lagos,Spring,39
52,2011,2022,8,Couples,52,4,2,8,32,63,Rome,32,Europe,Eastern Europe,Poland,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Summer,32
53,2344,2023,5,Couples,50,5,3,11,43,86,Windhoek,43,North America,Caribbean,Cuba,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Spring,41
54,2886,2024,7,Solo,327,4,5,14,55,108,Havana,55,Africa,West Africa,Ghana,84,5,Madrid Wildlife Reserve,"133 Main Road, Madrid",Nature & Wildlife Areas,Madrid,Summer,55
55,843,2024,11,Family,50,3,2,8,32,63,Rome,32,Europe,Eastern Europe,Poland,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Autumn,59
56,1422,2022,12,Family,143,5,2,8,35,69,Bangkok,35,Europe,Eastern Europe,Romania,130,9,Rio de Janeiro Wellness Retreat,"153 Main Road, Rio de Janeiro",Spas,Rio De Janeiro,Winter,36
57,116,2024,12,Business,297,5,2,5,23,45,Los Angeles,23,Europe,Western Europe,Belgium,45,14,Los Angeles Cascades,"168 Main Road, Los Angeles",Waterfalls,Los Angeles,Winter,60
58,743,2022,2,Business,242,3,2,8,33,64,Berlin,33,Europe,Eastern Europe,Czech Republic,107,6,Istanbul Aqua Park,"363 Main Road, Istanbul",Water Parks,Istanbul,Winter,26
59,1033,2021,1,Friends,195,5,2,6,24,47,Auckland,24,Europe,Southern Europe,Italy,121,13,Toronto Street Market,"235 Main Road, Toronto",Flea & Street Markets,Toronto,Winter,13
60,1740,2021,10,Business,104,4,1,1,3,7,Athens,3,Asia,South East Asia,Singapore,112,10,Chicago Reserve,"311 Main Road, Chicago",National Parks,Chicago,Autumn,22
61,1350,2020,6,Family,50,5,5,14,56,111,Phuket,56,Africa,West Africa,Senegal,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Summer,6
62,1011,2024,9,Couples,326,4,2,5,20,40,Tunis,20,Europe,Western Europe,France,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Autumn,57
63,1819,2024,1,Solo,303,4,1,1,6,13,London,6,Asia,South East Asia,Philippines,18,4,Jakarta Mosque,"261 Main Road, Jakarta",Religious Sites,Jakarta,Winter,49
64,2470,2022,5,Family,326,4,1,4,17,34,Toronto,17,Asia,Western Asia,Saudi Arabia,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Spring,29
65,724,2023,1,Solo,255,4,5,13,53,101,Barcelona,53,Africa,East Africa,Ethiopia,86,15,Windhoek Ballet Theatre,"361 Main Road, Windhoek",Ballets,Windhoek,Winter,37
66,967,2023,9,Couples,326,5,2,5,21,42,Cape Town,21,Europe,Western Europe,Germany,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Autumn,45
67,2085,2020,2,Friends,53,4,2,7,29,58,Bucharest,29,Europe,Northern Europe,Sweden,79,11,Bengaluru Tower,"79 Main Road, Bengaluru",Points Of Interest & Landmarks,Bengaluru,Winter,2
68,2310,2024,12,Couples,326,5,1,1,5,12,Tel Aviv,5,Asia,South East Asia,Vietnam,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Winter,60
69,2457,2024,4,Family,52,4,5,13,50,98,Lisbon,50,Africa,East Africa,Kenya,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Spring,52
70,669,2021,3,Solo,147,3,2,7,30,59,Prague,30,Europe,Northern Europe,Norway,44,10,Amsterdam National Park,"287 Main Road, Amsterdam",National Parks,Amsterdam,Spring,15
71,1560,2024,5,Family,244,3,5,15,59,117,Dakar,59,Africa,Southern Africa,Namibia,119,6,Santo Domingo Aqua Park,"200 Main Road, Santo Domingo",Water Parks,Santo Domingo,Spring,53
72,2697,2022,1,Friends,323,4,1,4,19,38,Melbourne,19,Asia,Western Asia,Turkey,36,15,Gaborone Ballet Theatre,"158 Main Road, Gaborone",Ballets,Gaborone,Winter,25
73,1097,2023,6,Couples,283,4,5,16,60,120,Singapore,60,Africa,North Africa,Egypt,78,14,Budapest Waterfall,"236 Main Road, Budapest",Waterfalls,Budapest,Summer,42
74,1201,2023,2,Couples,326,5,2,5,20,39,Addis Ababa,20,Europe,Western Europe,France,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Winter,38
75,2954,2024,1,Couples,10,5,6,18,66,133,Taipei,66,Oceania,Melanesia,Papua New Guinea,28,11,Riyadh Landmark,"123 Main Road, Riyadh",Points Of Interest & Landmarks,Riyadh,Winter,49
76,367,2024,5,Solo,169,5,2,8,34,67,Mexico City,34,Europe,Eastern Europe,Hungary,51,11,Warsaw Bridge,"371 Main Road, Warsaw",Points Of Interest & Landmarks,Warsaw,Spring,53
77,2089,2022,6,Friends,337,5,6,18,65,131,Amsterdam,65,Oceania,Melanesia,Fiji,36,2,Gaborone Archaeological Park,"76 Main Road, Gaborone",Ancient Ruins,Gaborone,Summer,30
78,2526,2024,5,Friends,56,5,2,5,21,42,Cape Town,21,Europe,Western Europe,Germany,93,7,Penang Mount,"6 Main Road, Penang",Volcanos,Penang,Spring,53
79,499,2023,4,Friends,193,4,2,7,29,56,Dhaka,29,Europe,Northern Europe,Sweden,109,12,Buenos Aires Quarter,"254 Main Road, Buenos Aires",Neighborhoods,Buenos Aires,Spring,40
80,2118,2022,10,Couples,51,4,2,7,29,57,Copenhagen,29,Europe,Northern Europe,Sweden,54,2,Sao Paulo Archaeological Park,"62 Main Road, Sao Paulo",Ancient Ruins,Sao Paulo,Autumn,34
81,1345,2023,7,Family,237,5,3,9,37,72,Accra,37,North America,Northern America,Canada,103,7,Panama City Mount,"305 Main Road, Panama City",Volcanos,Panama City,Summer,43
82,2536,2023,9,Couples,142,5,6,17,64,129,Cape Town,64,Oceania,Australia And New Zealand,New Zealand,74,15,Seoul Opera House,"374 Main Road, Seoul",Ballets,Seoul,Autumn,45
83,2724,2024,12,Solo,279,4,4,12,47,94,Athens,47,South America,South America,Peru,15,8,Nairobi Grotto,"161 Main Road, Nairobi",Caverns & Caves,Nairobi,Winter,60
84,2599,2020,3,Business,50,5,2,8,33,64,Berlin,33,Europe,Eastern Europe,Czech Republic,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Spring,3
85,213,2024,5,Business,245,4,6,17,64,128,Tokyo,64,Oceania,Australia And New Zealand,New Zealand,41,13,Tokyo Bazaar,"42 Main Road, Tokyo",Flea & Street Markets,Tokyo,Spring,53
86,2257,2022,12,Family,88,4,3,10,40,77,Lima,40,North America,Central America,Panama,45,9,Los Angeles Thermal Spa,"47 Main Road, Los Angeles",Spas,Los Angeles,Winter,36
87,2769,2024,8,Couples,144,5,3,9,38,74,Seoul,38,North America,Northern America,Mexico,91,2,Paris Temple Ruins,"221 Main Road, Paris",Ancient Ruins,Paris,Summer,56
88,1809,2023,4,Business,292,2,1,1,6,14,Barcelona,6,Asia,South East Asia,Philippines,77,1,Lima Bay,"366 Main Road, Lima",Beaches,Lima,Spring,40
89,1760,2020,8,Family,202,4,1,3,12,25,Chicago,12,Asia,East Asia,China,2,6,Lyon Water Park,"173 Main Road, Lyon",Water Parks,Lyon,Summer,8
90,172,2024,9,Friends,326,4,4,12,49,96,Brussels,49,South America,South America,Colombia,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Autumn,57
91,2546,2024,9,Friends,292,3,1,2,9,19,Lagos,9,Asia,South Asia,Nepal,77,1,Lima Bay,"366 Main Road, Lima",Beaches,Lima,Autumn,57
92,172,2024,6,Family,187,2,4,12,49,96,Brussels,49,South America,South America,Colombia,73,9,Manchester Hot Springs,"260 Main Road, Manchester",Spas,Manchester,Summer,54
93,906,2024,1,Business,52,3,2,7,29,57,Copenhagen,29,Europe,Northern Europe,Sweden,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Winter,49
94,2784,2024,4,Friends,286,4,1,3,14,29,Port Moresby,14,Asia,East Asia,South Korea,33,11,Singapore Landmark,"137 Main Road, Singapore",Points Of Interest & Landmarks,Singapore,Spring,52
95,2858,2022,5,Family,237,4,3,10,40,78,Budapest,40,North America,Central America,Panama,103,7,Panama City Mount,"305 Main Road, Panama City",Volcanos,Panama City,Spring,29
96,2977,2021,12,Family,184,4,5,15,57,112,Chicago,57,Africa,Southern Africa,South Africa,37,4,Stockholm Shrine,"229 Main Road, Stockholm",Religious Sites,Stockholm,Winter,24
97,1370,2021,12,Business,56,4,5,13,52,100,London,52,Africa,East Africa,Uganda,93,7,Penang Mount,"6 Main Road, Penang",Volcanos,Penang,Winter,24
98,598,2023,9,Family,52,4,1,2,10,22,Buenos Aires,10,Asia,South Asia,Bangladesh,26,12,Osaka Quarter,"240 Main Road, Osaka",Neighborhoods,Osaka,Autumn,45
99,1400,2021,1,Family,202,5,2,8,33,66,Johannesburg,33,Europe,Eastern Europe,Czech Republic,2,6,Lyon Water Park,"173 Main Road, Lyon",Water Parks,Lyon,Winter,13
100,339,2023,8,Couples,326,5,1,3,14,29,Port Moresby,14,Asia,East Asia,South Korea,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Summer,44
101,2599,2022,8,Family,291,5,2,8,33,64,Berlin,33,Europe,Eastern Europe,Czech Republic,17,13,Oslo Street Market,"238 Main Road, Oslo",Flea & Street Markets,Oslo,Summer,32
102,1646,2022,12,Couples,292,5,1,1,1,2,Lyon,1,Asia,South East Asia,Indonesia,77,1,Lima Bay,"366 Main Road, Lima",Beaches,Lima,Winter,36
103,1126,2023,3,Business,49,3,1,1,2,3,Surabaya,2,Asia,South East Asia,Malaysia,19,6,Lagos Water Park,"374 Main Road, Lagos",Water Parks,Lagos,Spring,39
104,255,2021,8,Couples,35,5,5,14,54,104,Oslo,54,Africa,West Africa,Nigeria,54,10,Sao Paulo Conservation Area,"92 Main Road, Sao Paulo",National Parks,Sao Paulo,Summer,20
105,1128,2022,12,Friends,320,5,1,1,3,6,Penang,3,Asia,South East Asia,Singapore,9,1,Brussels Shore,"45 Main Road, Brussels",Beaches,Brussels,Winter,36
106,2581,2022,10,Family,144,4,5,15,59,116,Port Moresby,59,Africa,Southern Africa,Namibia,91,2,Paris Temple Ruins,"221 Main Road, Paris",Ancient Ruins,Paris,Autumn,34
107,2080,2024,11,Couples,241,5,3,9,36,70,Suva,36,North America,Northern America,United States,7,8,Athens Grotto,"340 Main Road, Athens",Caverns & Caves,Athens,Autumn,59
108,265,2021,10,Friends,286,4,2,5,20,39,Addis Ababa,20,Europe,Western Europe,France,33,11,Singapore Landmark,"137 Main Road, Singapore",Points Of Interest & Landmarks,Singapore,Autumn,22
109,535,2023,2,Business,209,5,1,4,17,34,Toronto,17,Asia,Western Asia,Saudi Arabia,133,1,Taipei Beach,"29 Main Road, Taipei",Beaches,Taipei,Winter,38
110,1097,2024,9,Family,31,4,5,16,60,120,Singapore,60,Africa,North Africa,Egypt,65,5,Kingston Wildlife Reserve,"44 Main Road, Kingston",Nature & Wildlife Areas,Kingston,Autumn,57
111,337,2022,4,Family,151,3,3,10,39,76,Milan,39,North America,Central America,Costa Rica,95,1,Dubai Cove,"5 Main Road, Dubai",Beaches,Dubai,Spring,28
112,2816,2023,5,Business,330,3,5,14,54,104,Oslo,54,Africa,West Africa,Nigeria,62,4,Kuala Lumpur Mosque,"97 Main Road, Kuala Lumpur",Religious Sites,Kuala Lumpur,Spring,41
113,1905,2020,2,Business,209,4,1,3,15,32,Santo Domingo,15,Asia,East Asia,Taiwan,133,1,Taipei Beach,"29 Main Road, Taipei",Beaches,Taipei,Winter,2
114,310,2024,9,Friends,298,5,5,14,54,106,Lagos,54,Africa,West Africa,Nigeria,128,14,Tokyo Waterfall,"301 Main Road, Tokyo",Waterfalls,Tokyo,Autumn,57
115,2344,2023,11,Business,50,4,3,11,43,86,Windhoek,43,North America,Caribbean,Cuba,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Autumn,47
116,1024,2024,3,Friends,36,5,1,1,5,12,Tel Aviv,5,Asia,South East Asia,Vietnam,124,4,Stockholm Temple,"222 Main Road, Stockholm",Religious Sites,Stockholm,Spring,51
117,724,2020,11,Solo,244,4,5,13,53,101,Barcelona,53,Africa,East Africa,Ethiopia,119,6,Santo Domingo Aqua Park,"200 Main Road, Santo Domingo",Water Parks,Santo Domingo,Autumn,11
118,1666,2021,5,Family,84,5,3,9,38,,Unknown,,North America,Northern America,Mexico,91,8,Paris Cavern,"59 Main Road, Paris",Caverns & Caves,Paris,Spring,17
119,51,2024,11,Friends,202,5,5,14,54,104,Oslo,54,Africa,West Africa,Nigeria,2,6,Lyon Water Park,"173 Main Road, Lyon",Water Parks,Lyon,Autumn,59
120,1322,2020,7,Family,124,4,4,12,46,92,Sydney,46,South America,South America,Argentina,99,8,Tel Aviv Grotto,"55 Main Road, Tel Aviv",Caverns & Caves,Tel Aviv,Summer,7
121,2512,2023,1,Family,119,5,3,10,40,77,Lima,40,North America,Central America,Panama,89,2,Lyon Temple Ruins,"294 Main Road, Lyon",Ancient Ruins,Lyon,Winter,37
122,2793,2023,7,Solo,61,4,1,3,13,27,Cairo,13,Asia,East Asia,Japan,97,13,Shanghai Night Market,"286 Main Road, Shanghai",Flea & Street Markets,Shanghai,Summer,43
123,966,2022,2,Couples,267,5,3,11,43,85,Santiago,43,North America,Caribbean,Cuba,2,4,Lyon Temple,"317 Main Road, Lyon",Religious Sites,Lyon,Winter,26
124,1871,2021,4,Couples,57,4,2,8,33,64,Berlin,33,Europe,Eastern Europe,Czech Republic,45,3,Los Angeles Museum,"53 Main Road, Los Angeles",History Museums,Los Angeles,Spring,16
125,679,2024,7,Friends,178,4,2,7,31,62,Kuala Lumpur,31,Europe,Northern Europe,Denmark,85,12,Santiago Quarter,"22 Main Road, Santiago",Neighborhoods,Santiago,Summer,55
126,1645,2022,6,Friends,76,5,3,10,40,77,Lima,40,North America,Central America,Panama,119,6,Santo Domingo Splash World,"242 Main Road, Santo Domingo",Water Parks,Santo Domingo,Summer,30
127,747,2023,9,Couples,50,4,5,14,54,105,Jakarta,54,Africa,West Africa,Nigeria,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Autumn,45
128,1671,2022,12,Friends,303,5,2,6,25,49,Kathmandu,25,Europe,Southern Europe,Spain,18,4,Jakarta Mosque,"261 Main Road, Jakarta",Religious Sites,Jakarta,Winter,36
130,2844,2022,6,Family,50,4,5,15,57,114,Cairo,57,Africa,Southern Africa,South Africa,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Summer,30
131,2651,2022,5,Family,327,4,2,5,20,39,Addis Ababa,20,Europe,Western Europe,France,84,5,Madrid Wildlife Reserve,"133 Main Road, Madrid",Nature & Wildlife Areas,Madrid,Spring,29
132,955,2024,10,Business,103,4,1,3,12,25,Chicago,12,Asia,East Asia,China,56,5,Dhaka Nature Park,"312 Main Road, Dhaka",Nature & Wildlife Areas,Dhaka,Autumn,58
133,2305,2024,10,Couples,50,5,5,16,60,120,Singapore,60,Africa,North Africa,Egypt,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Autumn,58
134,313,2020,3,Solo,126,1,1,2,9,19,Lagos,9,Asia,South Asia,Nepal,37,7,Stockholm Crater,"313 Main Road, Stockholm",Volcanos,Stockholm,Spring,3
135,2201,2022,1,Couples,267,4,1,1,6,13,London,6,Asia,South East Asia,Philippines,2,4,Lyon Temple,"317 Main Road, Lyon",Religious Sites,Lyon,Winter,25
136,802,2023,6,Couples,76,5,1,4,18,36,Gaborone,18,Asia,Western Asia,Israel,119,6,Santo Domingo Splash World,"242 Main Road, Santo Domingo",Water Parks,Santo Domingo,Summer,42
137,452,2023,9,Couples,326,5,2,5,20,39,Addis Ababa,20,Europe,Western Europe,France,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Autumn,45
138,1993,2024,5,Family,49,4,2,7,28,55,Marrakesh,28,Europe,Northern Europe,United Kingdom,19,6,Lagos Water Park,"374 Main Road, Lagos",Water Parks,Lagos,Spring,53
139,1346,2022,8,Couples,326,3,4,12,46,92,Sydney,46,South America,South America,Argentina,126,3,Addis Ababa Museum,"203 Main Road, Addis Ababa",History Museums,Addis Ababa,Summer,32
140,1529,2024,8,Family,50,4,6,17,63,125,Melbourne,63,Oceania,Australia And New Zealand,Australia,48,15,San Jose Opera House,"49 Main Road, San Jose",Ballets,San Jose,Summer,56
141,1515,2023,6,Couples,328,5,1,3,15,31,Mumbai,15,Asia,East Asia,Taiwan,9,7,Brussels Crater,"312 Main Road, Brussels",Volcanos,Brussels,Summer,42
142,191,2021,6,Business,154,5,1,1,4,9,Brussels,4,Asia,South East Asia,Thailand,28,5,Riyadh Wildlife Reserve,"121 Main Road, Riyadh",Nature & Wildlife Areas,Riyadh,Summer,18
143,177,2021,7,Friends,20,5,5,14,54,104,Oslo,54,Africa,West Africa,Nigeria,123,5,Gaborone Sanctuary,"232 Main Road, Gaborone",Nature & Wildlife Areas,Gaborone,Summer,19
144,1760,2024,6,Family,111,4,1,3,12,25,Chicago,12,Asia,East Asia,China,117,6,Dakar Aqua Park,"147 Main Road, Dakar",Water Parks,Dakar,Summer,54
145,1818,2022,7,Friends,150,5,2,8,33,65,Kingston,33,Europe,Eastern Europe,Czech Republic,45,2,Los Angeles Ancient City,"235 Main Road, Los Angeles",Ancient Ruins,Los Angeles,Summer,31
146,172,2023,11,Business,150,4,4,12,49,96,Brussels,49,South America,South America,Colombia,45,2,Los Angeles Ancient City,"235 Main Road, Los Angeles",Ancient Ruins,Los Angeles,Autumn,47
